time,Frequency
54.314,1046.428
54.451,1046.994
54.591,1047.134
54.731,1047.134
54.872,988.925
55.011,988.925
55.131,988.925
55.271,987.842
55.411,1051.786
55.551,1048.626
55.691,1050.111
55.831,1050.111
55.944,1175.296
56.065,1169.470
56.201,1175.954
56.341,1176.155
56.466,1175.026
56.583,1175.845
56.721,1170.429
56.858,1170.429
56.991,1169.229
57.109,1169.229
57.241,1169.229
57.381,1169.229
57.522,1050.558
57.661,1050.558
57.801,1050.558
57.941,1050.558
58.081,1050.558
58.221,1050.558
58.361,1050.558
58.501,1050.558
58.632,1050.558
58.771,1050.558
58.911,1050.558
59.015,1323.621
59.131,1321.467
59.272,1324.300
59.413,1324.300
59.551,1324.300
59.691,1314.284
59.807,1325.047
59.946,1323.032
60.087,1318.863
60.221,1177.034
60.361,1172.694
60.481,1172.694
60.621,1170.305
60.761,1170.305
60.901,1050.769
61.041,1050.769
61.180,881.034
61.311,877.869
61.451,877.332
61.592,879.932
61.731,879.035
61.871,876.223
62.011,875.973
62.151,875.973
62.292,875.973
62.431,875.973
62.546,875.973
62.663,875.973
62.801,875.973
62.941,780.701
63.082,782.462
63.222,782.669
63.363,781.622
63.497,780.939
63.631,781.423
63.771,780.551
63.911,781.831
64.051,781.831
64.191,781.831
64.332,781.831
