time,Frequency
56.316,737.673
56.456,737.673
56.597,737.673
56.737,737.673
56.874,737.673
57.006,737.673
57.146,737.673
57.287,737.673
57.421,737.673
57.541,737.673
57.661,737.673
57.796,737.673
57.936,737.673
58.076,781.076
58.210,781.076
58.347,781.076
58.473,786.627
58.614,785.854
58.747,785.854
58.886,880.246
59.026,881.295
59.132,875.991
59.269,882.231
59.400,881.498
59.518,877.520
59.627,883.653
59.767,879.784
59.907,878.840
60.017,876.250
60.127,879.817
60.267,877.387
60.401,877.387
60.509,877.387
60.644,877.387
60.776,877.387
60.916,877.387
61.056,877.387
61.167,877.387
61.307,877.387
61.446,877.387
61.582,877.387
61.688,877.387
61.809,877.387
61.950,738.053
62.065,738.053
62.181,780.422
62.316,780.281
62.456,780.127
62.596,878.476
62.726,882.220
62.836,879.734
62.971,879.515
63.073,879.515
63.176,879.515
63.316,882.952
63.457,783.013
63.597,783.013
63.733,783.013
63.861,742.099
63.981,742.099
64.101,742.099
64.241,742.099
64.381,740.893
64.511,740.893
64.649,740.893
64.781,740.893
64.913,740.893
65.015,740.893
65.136,740.893
65.246,740.893
65.349,740.893
65.486,740.893
65.596,740.893
65.721,740.893
65.861,740.893
65.974,740.893
66.100,740.893
66.240,740.893
66.374,787.495
66.509,784.446
66.650,882.976
66.787,882.976
66.926,876.026
67.042,878.202
67.182,879.245
67.311,879.213
67.429,879.284
67.546,876.120
67.681,881.045
67.797,742.361
67.924,742.361
68.066,742.361
68.207,742.361
68.346,742.361
68.472,742.361
68.605,742.361
68.736,742.361
68.861,742.361
69.001,742.361
69.130,742.361
69.261,742.361
69.384,742.361
69.521,742.361
69.641,742.361
69.776,742.361
69.917,742.361
70.057,742.361
70.197,740.546
70.332,740.546
70.466,662.380
70.607,656.484
70.747,657.453
70.859,657.453
70.999,588.097
71.136,588.097
71.261,588.097
71.381,588.097
71.521,588.097
71.641,588.097
71.776,588.097
71.917,588.097
72.033,588.097
72.134,588.097
72.234,82.261
72.373,82.261
72.502,82.261
72.636,82.261
72.777,82.261
72.916,782.465
73.056,781.034
73.159,780.533
73.300,780.533
73.440,780.533
73.580,780.533
73.695,662.222
73.826,659.824
73.965,659.211
74.101,659.211
74.221,659.211
74.361,739.770
74.481,784.065
74.621,784.702
74.748,782.217
74.869,780.177
74.987,780.177
75.126,782.803
75.228,782.590
75.368,782.191
75.506,781.082
75.624,783.113
75.764,781.730
75.875,781.730
75.990,781.730
76.092,781.730
76.226,662.377
76.362,656.744
76.494,656.048
76.626,656.048
76.766,656.048
76.906,785.188
77.046,785.390
77.152,781.244
77.291,786.653
77.432,786.653
77.540,742.717
77.676,660.821
77.816,659.309
77.938,659.610
78.076,659.610
78.200,659.893
78.340,331.039
78.472,588.745
78.606,589.936
78.746,588.021
78.874,588.021
79.011,588.021
79.144,588.021
79.261,588.021
79.401,588.021
79.537,787.183
79.674,787.183
